Source,Target,Relationship,Source File,Target File
App,ErrorBoundary,Renders,App.js,Unknown
App,VersionStateProvider,Renders,App.js,Unknown
CustomizableTable,useFormValues,Imports,CustomizableTable.js,useFormValues.js
TooltipWithMore,TooltipProvider,Renders,FormHeader.js,Unknown
TooltipWithMore,Tooltip,Renders,FormHeader.js,Unknown
TooltipWithMore,TooltipContent,Renders,FormHeader.js,Unknown
GeneralFormConfig,Popup,Renders,GeneralFormConfig.js,Unknown
Index,App,Renders,index.js,Unknown
L_1_HomePageContent,TooltipWithMore,Imports,L_1_HomePage.js,FormHeader.js
L_1_HomePageContent,GeneralFormConfig,Imports,L_1_HomePage.js,GeneralFormConfig.js
L_1_HomePageContent,Popup,Imports,L_1_HomePage.js,Popup.js
L_1_HomePageContent,PropertySelector,Imports,L_1_HomePage.js,PropertySelector.js
L_1_HomePageContent,MultiVersionSelector,Imports,L_1_HomePage.js,MultiVersionSelector.js
L_1_HomePageContent,TodoList,Imports,L_1_HomePage.js,TodoList.js
L_1_HomePageContent,VersionSelector,Imports,L_1_HomePage.js,VersionSelector.js
L_1_HomePageContent,useFormValues,Imports,L_1_HomePage.js,useFormValues.js
L_1_HomePageContent,CustomizableImage,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,CustomizableTable,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,GeneralFormConfig,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,CalculationMonitor,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,PropertySelector,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,MultiVersionSelector,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,ModelZone,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,VersionSelector,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,SpatialTransformComponent,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,EditableHierarchicalList,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,TodoList,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,SensitivityAnalysis,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,TestingZone,Renders,L_1_HomePage.js,Unknown
L_1_HomePageContent,VersionStateProvider,Renders,L_1_HomePage.js,Unknown
SensitivityAnalysis,SensitivityVisualization,Renders,components/SensitivityAnalysis.js,Unknown
TestingZone,CFAConsolidationUI,Renders,components/TestingZone.js,Unknown
Tooltip,ScalingSummary,Renders,extended_scaling/ExtendedScaling.js,Unknown
ScalingSummary,Card,Renders,extended_scaling/ScalingSummary.js,Unknown
CFAConsolidationUI,SelectionPanel,Renders,components/cfa/CFAConsolidationUI.js,Unknown
CFAConsolidationUI,ProcessingPanel,Renders,components/cfa/CFAConsolidationUI.js,Unknown
CFAConsolidationUI,IndividualResultsPanel,Renders,components/cfa/CFAConsolidationUI.js,Unknown
CFAConsolidationUI,ResultsPanel,Renders,components/cfa/CFAConsolidationUI.js,Unknown
IndividualResultsPanel,CustomizableTable,Renders,components/cfa/IndividualResultsPanel.js,Unknown
InputForm,PropertySelector,Renders,components/forms/InputForm.js,Unknown
InputForm,GeneralFormConfig,Renders,components/forms/InputForm.js,Unknown
HeaderSection,ThemeSelector,Renders,components/layout/HeaderSection.js,Unknown
DecisionEngine,AnalysisChart,Renders,components/model/DecisionEngine.js,Unknown
ModelZone,FilterPopup,Renders,components/model/ModelZone.js,Unknown
ModelZone,ImpactAnalysis,Renders,components/model/ModelZone.js,Unknown
ModelZone,SensitivityEngine,Renders,components/model/ModelZone.js,Unknown
ModelZone,RiskAssessment,Renders,components/model/ModelZone.js,Unknown
ModelZone,OptimizationEngine,Renders,components/model/ModelZone.js,Unknown
ModelZone,DecisionEngine,Renders,components/model/ModelZone.js,Unknown
ModelZone,AnalysisVisualizationIntegration,Renders,components/model/ModelZone.js,Unknown
ModelZone,ModelCard,Renders,components/model/ModelZone.js,Unknown
ModelZone,OverlayController,Renders,components/model/ModelZone.js,Unknown
ModelZone,InheritanceControl,Renders,components/model/ModelZone.js,Unknown
OptimizationEngine,AnalysisChart,Renders,components/model/OptimizationEngine.js,Unknown
OverlayController,NavigationManager,Renders,components/model/OverlayController.js,Unknown
RiskAssessment,AnalysisChart,Renders,components/model/RiskAssessment.js,Unknown
SensitivityEngine,AnalysisChart,Renders,components/model/SensitivityEngine.js,Unknown
ScalingTab,Card,Renders,components/scaling/ScalingTab.js,Unknown
CsvContentTab,CustomizableTable,Renders,components/tabs/CsvContentTab.js,Unknown
PlotContentTab,CustomizableImage,Renders,components/tabs/PlotContentTab.js,Unknown
TabContent,InputForm,Renders,components/tabs/TabContent.js,Unknown
TabContent,ActionButtons,Renders,components/tabs/TabContent.js,Unknown
TabContent,ModelZone,Renders,components/tabs/TabContent.js,Unknown
TabContent,VersionSelector,Renders,components/tabs/TabContent.js,Unknown
TabContent,SpatialTransformComponent,Renders,components/tabs/TabContent.js,Unknown
TabContent,CsvContentTab,Renders,components/tabs/TabContent.js,Unknown
TabContent,HtmlContentTab,Renders,components/tabs/TabContent.js,Unknown
TabContent,PlotContentTab,Renders,components/tabs/TabContent.js,Unknown
TabContent,ScalingTab,Renders,components/tabs/TabContent.js,Unknown
TabContent,EditableHierarchicalList,Renders,components/tabs/TabContent.js,Unknown
TabContent,TodoList,Renders,components/tabs/TabContent.js,Unknown
TabContent,SensitivityAnalysis,Renders,components/tabs/TabContent.js,Unknown
TabContent,TestingZone,Renders,components/tabs/TabContent.js,Unknown
